Provincia,Tecnologia,Accesos
BUENOS AIRES,CABLEMODEM,2722466.0
BUENOS AIRES,FIBRA OPTICA,1849476.0
BUENOS AIRES,ADSL,214055.0
BUENOS AIRES,WIRELESS,138638.0
BUENOS AIRES,OTROS,56102.0
BUENOS AIRES,DIAL UP,5900.0
BUENOS AIRES,WIMAX,1682.0
BUENOS AIRES,SATELITAL,1061.0
CABA,CABLEMODEM,1144781.0
CABA,FIBRA OPTICA,230402.0
CABA,ADSL,54102.0
CABA,OTROS,27704.0
CABA,WIRELESS,4493.0
CABA,DIAL UP,2050.0
CABA,SATELITAL,67.0
CATAMARCA,FIBRA OPTICA,58355.0
CATAMARCA,CABLEMODEM,10303.0
CATAMARCA,ADSL,4951.0
CATAMARCA,WIRELESS,1384.0
CATAMARCA,SATELITAL,79.0
CATAMARCA,DIAL UP,1.0
CATAMARCA,OTROS,1.0
CHACO,FIBRA OPTICA,68944.0
CHACO,CABLEMODEM,57935.0
CHACO,ADSL,9448.0
CHACO,WIRELESS,8407.0
CHACO,OTROS,2277.0
CHACO,SATELITAL,76.0
CHACO,DIAL UP,5.0
CHUBUT,CABLEMODEM,80704.0
CHUBUT,WIRELESS,31118.0
CHUBUT,FIBRA OPTICA,26516.0
CHUBUT,ADSL,25955.0
CHUBUT,OTROS,8906.0
CHUBUT,DIAL UP,857.0
CHUBUT,SATELITAL,167.0
CORDOBA,FIBRA OPTICA,477504.0
CORDOBA,CABLEMODEM,443091.0
CORDOBA,ADSL,93483.0
CORDOBA,WIRELESS,62162.0
CORDOBA,OTROS,9305.0
CORDOBA,SATELITAL,95.0
CORDOBA,WIMAX,71.0
CORDOBA,DIAL UP,63.0
CORRIENTES,CABLEMODEM,86226.0
CORRIENTES,FIBRA OPTICA,39792.0
CORRIENTES,ADSL,14849.0
CORRIENTES,WIRELESS,10295.0
CORRIENTES,OTROS,5174.0
CORRIENTES,SATELITAL,77.0
CORRIENTES,WIMAX,59.0
CORRIENTES,DIAL UP,3.0
ENTRE RIOS,CABLEMODEM,158918.0
ENTRE RIOS,FIBRA OPTICA,68540.0
ENTRE RIOS,ADSL,31335.0
ENTRE RIOS,WIRELESS,23954.0
ENTRE RIOS,OTROS,11296.0
ENTRE RIOS,WIMAX,224.0
ENTRE RIOS,SATELITAL,24.0
ENTRE RIOS,DIAL UP,20.0
FORMOSA,FIBRA OPTICA,18977.0
FORMOSA,CABLEMODEM,18768.0
FORMOSA,WIRELESS,16430.0
FORMOSA,ADSL,8488.0
FORMOSA,OTROS,234.0
FORMOSA,SATELITAL,53.0
JUJUY,FIBRA OPTICA,53492.0
JUJUY,CABLEMODEM,51361.0
JUJUY,ADSL,9509.0
JUJUY,WIRELESS,4106.0
JUJUY,OTROS,1127.0
JUJUY,SATELITAL,89.0
LA PAMPA,CABLEMODEM,58647.0
LA PAMPA,FIBRA OPTICA,37226.0
LA PAMPA,WIRELESS,19510.0
LA PAMPA,ADSL,6778.0
LA PAMPA,OTROS,868.0
LA PAMPA,DIAL UP,162.0
LA PAMPA,SATELITAL,72.0
LA RIOJA,CABLEMODEM,55531.0
LA RIOJA,FIBRA OPTICA,23294.0
LA RIOJA,WIRELESS,6396.0
LA RIOJA,ADSL,2230.0
LA RIOJA,SATELITAL,20.0
LA RIOJA,OTROS,6.0
LA RIOJA,DIAL UP,4.0
MENDOZA,FIBRA OPTICA,188815.0
MENDOZA,CABLEMODEM,66636.0
MENDOZA,WIRELESS,27606.0
MENDOZA,ADSL,17671.0
MENDOZA,DIAL UP,730.0
MENDOZA,OTROS,158.0
MENDOZA,SATELITAL,37.0
MISIONES,FIBRA OPTICA,87389.0
MISIONES,CABLEMODEM,76427.0
MISIONES,ADSL,20868.0
MISIONES,WIRELESS,14968.0
MISIONES,OTROS,6851.0
MISIONES,SATELITAL,51.0
NEUQUEN,CABLEMODEM,72698.0
NEUQUEN,FIBRA OPTICA,41784.0
NEUQUEN,WIRELESS,24549.0
NEUQUEN,ADSL,23553.0
NEUQUEN,DIAL UP,439.0
NEUQUEN,WIMAX,202.0
NEUQUEN,OTROS,183.0
NEUQUEN,SATELITAL,134.0
RIO NEGRO,FIBRA OPTICA,67636.0
RIO NEGRO,CABLEMODEM,49722.0
RIO NEGRO,ADSL,20771.0
RIO NEGRO,WIRELESS,18083.0
RIO NEGRO,OTROS,15106.0
RIO NEGRO,DIAL UP,515.0
RIO NEGRO,SATELITAL,208.0
SALTA,CABLEMODEM,98511.0
SALTA,FIBRA OPTICA,64689.0
SALTA,ADSL,19831.0
SALTA,WIRELESS,11807.0
SALTA,OTROS,6365.0
SALTA,SATELITAL,133.0
SALTA,DIAL UP,5.0
SAN JUAN,FIBRA OPTICA,45792.0
SAN JUAN,WIRELESS,23594.0
SAN JUAN,CABLEMODEM,16978.0
SAN JUAN,ADSL,12669.0
SAN JUAN,OTROS,6678.0
SAN JUAN,DIAL UP,247.0
SAN JUAN,SATELITAL,32.0
SAN LUIS,WIRELESS,78954.0
SAN LUIS,CABLEMODEM,40063.0
SAN LUIS,FIBRA OPTICA,34255.0
SAN LUIS,ADSL,4038.0
SAN LUIS,DIAL UP,165.0
SAN LUIS,OTROS,70.0
SAN LUIS,SATELITAL,64.0
SANTA CRUZ,FIBRA OPTICA,49545.0
SANTA CRUZ,CABLEMODEM,14134.0
SANTA CRUZ,WIRELESS,11353.0
SANTA CRUZ,ADSL,7768.0
SANTA CRUZ,OTROS,406.0
SANTA CRUZ,DIAL UP,187.0
SANTA CRUZ,SATELITAL,68.0
SANTA FE,CABLEMODEM,394939.0
SANTA FE,FIBRA OPTICA,390090.0
SANTA FE,ADSL,88486.0
SANTA FE,WIRELESS,44286.0
SANTA FE,OTROS,12932.0
SANTA FE,SATELITAL,134.0
SANTA FE,DIAL UP,106.0
SANTIAGO DEL ESTERO,CABLEMODEM,80000.0
SANTIAGO DEL ESTERO,FIBRA OPTICA,30008.0
SANTIAGO DEL ESTERO,WIRELESS,7058.0
SANTIAGO DEL ESTERO,ADSL,5328.0
SANTIAGO DEL ESTERO,OTROS,2789.0
SANTIAGO DEL ESTERO,SATELITAL,129.0
SANTIAGO DEL ESTERO,DIAL UP,2.0
TIERRA DEL FUEGO,CABLEMODEM,47859.0
TIERRA DEL FUEGO,ADSL,9357.0
TIERRA DEL FUEGO,FIBRA OPTICA,3684.0
TIERRA DEL FUEGO,DIAL UP,305.0
TIERRA DEL FUEGO,WIRELESS,177.0
TIERRA DEL FUEGO,SATELITAL,23.0
TIERRA DEL FUEGO,OTROS,4.0
TUCUMAN,FIBRA OPTICA,213753.0
TUCUMAN,ADSL,27968.0
TUCUMAN,CABLEMODEM,20806.0
TUCUMAN,WIRELESS,3869.0
TUCUMAN,OTROS,454.0
TUCUMAN,SATELITAL,37.0
TUCUMAN,DIAL UP,27.0
