Año,Trimestre,Provincia,Accesos,Velocidad
2017,4,BUENOS AIRES,3188332,12.905339397528236
2017,4,CABA,1584238,15.761785835209103
2017,4,CATAMARCA,29558,7.546429528384871
2017,4,CHACO,96471,12.06024504773455
2017,4,CHUBUT,93432,5.798455604075691
2017,4,CORDOBA,700611,12.328680274788722
2017,4,CORRIENTES,93771,10.792194089857206
2017,4,ENTRE RIOS,193499,10.168063504204156
2017,4,FORMOSA,32055,10.502349711433475
2017,4,JUJUY,43550,7.001945809414466
2017,4,LA PAMPA,81086,4.2662899637422
2017,4,LA RIOJA,52195,6.355242992623815
2017,4,MENDOZA,180154,6.110204669338455
2017,4,MISIONES,103895,11.708826565282257
2017,4,NEUQUEN,115843,10.522163894236165
2017,4,RIO NEGRO,109678,8.139411477233356
2017,4,SALTA,133648,8.849454028492756
2017,4,SAN JUAN,58622,6.232159667019207
2017,4,SAN LUIS,14900,5.387336912751677
2017,4,SANTA CRUZ,29978,5.632641136833678
2017,4,SANTA FE,671964,10.807085456959005
2017,4,SANTIAGO DEL ESTERO,68842,6.67524028935824
2017,4,TIERRA DEL FUEGO,31652,5.63137154050297
2017,4,TUCUMAN,162248,13.352930452147328
2018,1,BUENOS AIRES,3471700,14.244623981334792
2018,1,CABA,1368594,18.228532470550068
2018,1,CATAMARCA,33929,6.956963305726665
2018,1,CHACO,96782,12.80430865243537
2018,1,CHUBUT,97928,5.52416228249326
2018,1,CORDOBA,713991,13.559412676070147
2018,1,CORRIENTES,94420,11.518869222622326
2018,1,ENTRE RIOS,196848,10.991817117776153
2018,1,FORMOSA,32320,11.448360767326733
2018,1,JUJUY,44393,7.084356542698172
2018,1,LA PAMPA,82375,4.252106925644917
2018,1,LA RIOJA,52242,6.367621989969757
2018,1,MENDOZA,200927,5.26190341765915
2018,1,MISIONES,103542,12.460320217882598
2018,1,NEUQUEN,116746,11.688254261387971
2018,1,RIO NEGRO,111239,9.013643668137973
2018,1,SALTA,134001,9.569594197058231
2018,1,SAN JUAN,63240,5.769384440227705
2018,1,SAN LUIS,21382,3.6690996164998593
2018,1,SANTA CRUZ,33772,4.913436100911999
2018,1,SANTA FE,680053,11.685156662789518
2018,1,SANTIAGO DEL ESTERO,84236,5.393314924735268
2018,1,TIERRA DEL FUEGO,34409,6.155533842889942
2018,1,TUCUMAN,167984,15.7363568673207
2018,2,BUENOS AIRES,3500699,14.59802158368943
2018,2,CABA,1369186,19.29983302195611
2018,2,CATAMARCA,34089,6.544058317932471
2018,2,CHACO,98521,12.730085321911066
2018,2,CHUBUT,100564,5.441255319995227
2018,2,CORDOBA,713073,13.997363854752598
2018,2,CORRIENTES,97957,11.255724777198157
2018,2,ENTRE RIOS,199985,10.535773142985725
2018,2,FORMOSA,44554,9.285349643129685
2018,2,JUJUY,45133,6.627712937318592
2018,2,LA PAMPA,82421,4.55316154863445
2018,2,LA RIOJA,51948,6.074649187649188
2018,2,MENDOZA,200952,5.260597993550699
2018,2,MISIONES,106147,12.255464365455454
2018,2,NEUQUEN,115848,12.863665423658587
2018,2,RIO NEGRO,112235,9.513226212856953
2018,2,SALTA,134167,9.318298776897448
2018,2,SAN JUAN,64101,5.766341242726323
2018,2,SAN LUIS,21468,3.6824982299236075
2018,2,SANTA CRUZ,34405,4.82774631594245
2018,2,SANTA FE,684552,11.724816136685014
2018,2,SANTIAGO DEL ESTERO,83775,5.125148982393315
2018,2,TIERRA DEL FUEGO,44707,6.15674896548639
2018,2,TUCUMAN,169957,13.715763187159103
2018,3,BUENOS AIRES,3610277,16.644253270316934
2018,3,CABA,1392490,22.018981375808803
2018,3,CATAMARCA,34226,7.681570501957577
2018,3,CHACO,102033,13.39985102858879
2018,3,CHUBUT,103736,6.376020436492635
2018,3,CORDOBA,725858,14.950079971564687
2018,3,CORRIENTES,99456,11.867779037966537
2018,3,ENTRE RIOS,204608,10.867141519393183
2018,3,FORMOSA,44865,9.626565652513095
2018,3,JUJUY,44935,8.000281918326472
2018,3,LA PAMPA,83424,4.680651658995013
2018,3,LA RIOJA,51872,6.635683528685996
2018,3,MENDOZA,207029,6.169105487636998
2018,3,MISIONES,108042,12.995495973787971
2018,3,NEUQUEN,116718,14.126602409225654
2018,3,RIO NEGRO,113492,10.079048743523774
2018,3,SALTA,132883,9.651815446671131
2018,3,SAN JUAN,64481,6.110642452815558
2018,3,SAN LUIS,74421,8.760922320312815
2018,3,SANTA CRUZ,33999,5.737758051707404
2018,3,SANTA FE,695100,12.417212614012373
2018,3,SANTIAGO DEL ESTERO,86360,6.212439092172302
2018,3,TIERRA DEL FUEGO,45564,6.209194890703187
2018,3,TUCUMAN,171166,15.562300036222148
2018,4,BUENOS AIRES,3636606,17.268989210269137
2018,4,CABA,1389020,23.313671500770326
2018,4,CATAMARCA,33583,7.895991305124617
2018,4,CHACO,103270,14.063839721119397
2018,4,CHUBUT,78722,6.351530144051219
2018,4,CORDOBA,737339,15.93241485937947
2018,4,CORRIENTES,100601,12.516243576107595
2018,4,ENTRE RIOS,222047,10.706401455547699
2018,4,FORMOSA,45204,10.138735952570569
2018,4,JUJUY,90133,4.703528252693243
2018,4,LA PAMPA,85636,4.817857910224672
2018,4,LA RIOJA,51651,7.569498673791407
2018,4,MENDOZA,206304,6.128840642934699
2018,4,MISIONES,116273,12.967836591470077
2018,4,NEUQUEN,114365,15.323573715734709
2018,4,RIO NEGRO,116837,10.561481140392171
2018,4,SALTA,134578,10.819036454695418
2018,4,SAN JUAN,62398,6.039972435013943
2018,4,SAN LUIS,96331,6.850692342029045
2018,4,SANTA CRUZ,24768,5.374670381136951
2018,4,SANTA FE,720390,13.08021366204417
2018,4,SANTIAGO DEL ESTERO,89335,6.806796037387362
2018,4,TIERRA DEL FUEGO,46260,8.079154172070904
2018,4,TUCUMAN,172004,16.8867941675775
2019,1,BUENOS AIRES,3732709,19.95574753349377
2019,1,CABA,1401583,25.068750183185728
2019,1,CATAMARCA,34739,7.80155053398198
2019,1,CHACO,106982,13.718842309921296
2019,1,CHUBUT,82678,6.246153656353565
2019,1,CORDOBA,746418,15.902119332599161
2019,1,CORRIENTES,101659,12.424983720083809
2019,1,ENTRE RIOS,233180,10.46946079423621
2019,1,FORMOSA,45299,10.133528775469658
2019,1,JUJUY,83736,5.043454380433744
2019,1,LA PAMPA,87085,5.4558881552506175
2019,1,LA RIOJA,51653,7.5693068747217005
2019,1,MENDOZA,215979,6.124837785155037
2019,1,MISIONES,125633,12.090250873576212
2019,1,NEUQUEN,114242,15.341747483412407
2019,1,RIO NEGRO,120826,10.519541092149042
2019,1,SALTA,136012,10.737028673940534
2019,1,SAN JUAN,63982,6.171961239098497
2019,1,SAN LUIS,98701,6.827901399175287
2019,1,SANTA CRUZ,25606,6.131551198937749
2019,1,SANTA FE,732320,13.085503184400261
2019,1,SANTIAGO DEL ESTERO,91535,6.937108952859562
2019,1,TIERRA DEL FUEGO,43361,6.753812688821752
2019,1,TUCUMAN,172217,16.88581958807783
2019,2,BUENOS AIRES,3870807,22.509588967881893
2019,2,CABA,1418395,30.621004930220426
2019,2,CATAMARCA,33622,8.610268990541908
2019,2,CHACO,109904,16.20517706361916
2019,2,CHUBUT,89333,6.125155228191151
2019,2,CORDOBA,769793,18.519335327808903
2019,2,CORRIENTES,109461,13.433150619855475
2019,2,ENTRE RIOS,234213,11.64503828566305
2019,2,FORMOSA,46751,11.111183076297833
2019,2,JUJUY,86733,9.323374770848465
2019,2,LA PAMPA,90223,5.674681045853053
2019,2,LA RIOJA,50304,8.36749578562341
2019,2,MENDOZA,222260,6.407597138486456
2019,2,MISIONES,130052,13.467794420693261
2019,2,NEUQUEN,122886,17.56678186286477
2019,2,RIO NEGRO,138429,10.404581930086904
2019,2,SALTA,142650,12.224870297932002
2019,2,SAN JUAN,70240,5.9847042710706155
2019,2,SAN LUIS,117383,13.67649400679826
2019,2,SANTA CRUZ,30010,6.456257914028658
2019,2,SANTA FE,736108,14.939764463910189
2019,2,SANTIAGO DEL ESTERO,126056,5.606565526432697
2019,2,TIERRA DEL FUEGO,47895,6.769424198768139
2019,2,TUCUMAN,166673,18.82693772836632
2019,3,BUENOS AIRES,3960233,25.80441565256388
2019,3,CABA,1441211,39.216266910258106
2019,3,CATAMARCA,32400,9.029786172839506
